establecimiento_id,establecimiento_nombre,localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,origen_financiamiento,tipologia_id,tipologia_sigla,tipologia_nombre,cp,domicilio,sitio_web,longitud,latitud
50500492258716,C.A.P.S. 366 CENTRO DE SALUD MUNICIPAL DOMINGO FURFURI.-,50049050002,LAS HERAS,50,MENDOZA,49,LAS HERAS,50,2.0,Municipal,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5539,ECHEVERRÍA 463,www.lasheras.gob.ar,-68.83938699999999,-32.8458309
50500072358668,GUERRERO INSTITUTO OFTALMOLOGICO.-,50007010002,2A. SECCION,50,MENDOZA,7,CAPITAL,10,2.0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5500,MONTEVIDEO 47,www.ioguerrero.com.ar,-68.840513,-32.892497
50500632458763,COMPLEJO PENITENCIARIO III ALMAFUERTE.-,50063030000,CACHEUTA,50,MENDOZA,63,LUJÁN DE CUYO,30,0.0,Servicio Penitenciario Provincial,50,ESSIDT,Con guardia permanente,5549,RUTA NACIONAL 7 KM 1069,www.mingobierno.mendoza.gov.ar,-69.049759,-33.092032
50501052258591,C.I.C. 329 TERESA DE SCAGLIOTTI.-,50105210,SAN RAFAEL  (CIUDAD DE SAN RAFAEL),50,MENDOZA,105,SAN RAFAEL,210,3.0,Municipal,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5600,EL JACARANDÁ ESQUINA SÁENZ PEÑA,www.sanrafael.gov.ar,-68.375569,-34.636568
50500702258629,C.A.P.S. 352 CENTRO DE SALUD MUNICIPAL JUAN V. MOLINA.-,50070060003,LUZURIAGA,50,MENDOZA,70,MAIPÚ,60,3.0,Municipal,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5513,BARRIO CÓNDOR Y ANDES LOS ARTESANOS 1510,www.maipu.gob.ar,-68.81701,-32.96344
14500072358662,CLINICA YOMA.-,50007010005,5A. SECCION,50,MENDOZA,7,CAPITAL,10,5.0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5500,AVENIDA BELGRANO 836,www.clinicayoma.com,-68.850641,-32.891623
50500912758818,O.S.E.P. SUBDELEGACION LA CONSULTA.-,50091040000,LA CONSULTA,50,MENDOZA,91,SAN CARLOS,40,0.0,Seguridad Social,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5567,BRUNO VILLEGAS NORTE 373,www.osepmendoza.com.ar,-69.117503,-33.734191
50500702758809,O.S.E.P. SUBDELEGACION FRAY LUIS BELTRAN.-,50070050000,FRAY LUIS BELTRAN,50,MENDOZA,70,MAIPÚ,50,0.0,Seguridad Social,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5531,ESPAÑA 116,www.osepmendoza.com.ar,-68.78806910000003,-32.9633937
50501192158790,C.I.C. 918 VISTA FLORES.-,50119070000,VISTA FLORES,50,MENDOZA,119,TUNUYÁN,70,0.0,Provincial,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5565,PEDRO PALACIOS ESQUINA 12 DE OCTUBRE,www.salud.mendoza.gov.ar,-69.155181,-33.646224
53500212358835,UNIVERSAL SERVICIOS MEDICOS.-,50021010001,GODOY CRUZ,50,MENDOZA,21,GODOY CRUZ,10,1.0,Privado,53,ESCL,Sistema de Atención extra hospitalaria,5501,AVENIDA SAN MARTÍN 903,,-68.845773,-32.915097
53500142358836,SERVICIOS DE EMERGENCIAS MEDICAS ALVEAR - GENERAL ALVEAR.-,50014030000,GENERAL ALVEAR,50,MENDOZA,14,GENERAL ALVEAR,30,0.0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5620,DOMINGO FAUSTINO SARMIENTO 132,,-67.699211,-34.978778
50501192758815,O.S.E.P. VISTA FLORES.-,50119070000,VISTA FLORES,50,MENDOZA,119,TUNUYÁN,70,0.0,Seguridad Social,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5665,PEDRO B. PALACIOS Y 12 DE OCTUBRE,www.osep.mendoza.com.ar,-69.15473500000002,-33.645311
50500632758884,O.S.E.P. DELEGACION LUJAN DE CUYO.-,50063090003,LUJAN DE CUYO,50,MENDOZA,63,LUJÁN DE CUYO,90,3.0,Seguridad Social,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5507,BUSTAMANTE 453,www.osepmendoza.com.ar,-68.87769220000001,-33.0391957
13500282361091,CLINICA DI FERRO.-,50028020001,BERMEJO,50,MENDOZA,28,GUAYMALLÉN,20,1.0,Privado,13,ESCIESM,Mediano riesgo con internación con cuidados especiales,5533,MATHUS HOYOS 2220,www.clinicadiferro.com.ar,-68.793463,-32.868927
50500492758810,O.S.E.P. SUBDELEGACION USPALLATA.-,50049110000,USPALLATA,50,MENDOZA,49,LAS HERAS,110,0.0,Seguridad Social,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5545,EJÉRCITO DE LOS ANDES 11,www.osepmendoza.com.ar,-69.34622200000001,-32.595213
50500072758816,O.S.E.P. XELTAHUINA.-,50007010003,3A. SECCION,50,MENDOZA,7,CAPITAL,10,3.0,Seguridad Social,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5500,SALTA 877,www.osepmendoza.com.ar,-68.8344439,-32.8943134
50500562158780,C.A.P.S. 048 SAN MIGUEL.-,50056000076,SAN MIGUEL,50,MENDOZA,56,LAVALLE,0,0.0,Provincial,50,ESSIDT,Con atención médica general por lo menos 3 días de la semana,5537,RUTA PROVINCIAL 51 KM 128  HUELLA AL ESTE 9 KMS,www.mendoza.gov.ar/salud/contactos/centro-de-salud-no-048-san-miguel,-67.530655,-32.299621
50500912758888,O.S.E.P. SUBDELEGACION SAN CARLOS.-,50091060000,SAN CARLOS,50,MENDOZA,91,SAN CARLOS,60,0.0,Seguridad Social,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5569,"RUTA 40, TERMINAL DE ÓMNIBUS",www.osepmendoza.com.ar,-69.04066837036135,-33.772227069778765
50501052158788,C.A.P.S. 107 VILLA 25 DE MAYO.-,50105220000,25 DE MAYO,50,MENDOZA,105,SAN RAFAEL,220,0.0,Provincial,50,ESSIDT,Con guardia permanente,5615,AV. 9 DE JULIO 677,www.salud.mendoza.gov.ar,-68.539243,-34.580762
13500212358795,REHABILITACION DE MARGINADOS.-,50021010001,GODOY CRUZ,50,MENDOZA,21,GODOY CRUZ,10,1.0,Privado,13,ESCIESM,Bajo riesgo con internación simple,5501,PASO DE LOS ANDES1265,www.remarargentina.org,-68.862107,-32.913091
53500702358826,ASISMIN EMERGENCIAS - MAIPU.-,50070060004,MAIPU,50,MENDOZA,70,MAIPÚ,60,4.0,Privado,53,ESCL,Sistema de Atención extra hospitalaria,5515,TROPERO SOSA 140,www.emergencias.com.ar,-68.789081,-32.986428
53500492358854,SERVICIOS HOSPITALARIOS.-,50049050002,LAS HERAS,50,MENDOZA,49,LAS HERAS,50,2.0,Privado,53,ESCL,Sistema de Atención extra hospitalaria,5539,CLAVEL DEL AIRE 525,,-68.815537,-32.848911
53501052358852,EMERGENCIAS SAN RAFAEL.-,50105210,SAN RAFAEL  (CIUDAD DE SAN RAFAEL),50,MENDOZA,105,SAN RAFAEL,210,3.0,Privado,53,ESCL,Sistema de Atención extra hospitalaria,5600,SANTA FE 778,www.emergenciasanrafael.com.ar,-68.341705,-34.617593
15500072358869,LE BEL AGE GERIATRICO.-,50007010005,5A. SECCION,50,MENDOZA,7,CAPITAL,10,5.0,Privado,17,ESCIRES,Vivienda para personas mayores,5500,AGUSTIN ALVAREZ 763,www.residencialebelage.com.ar,-68.859896,-32.885631
50500492258897,C.I.C. 925 EL PLUMERILLO.-,50049050007,EL PLUMERILLO,50,MENDOZA,49,LAS HERAS,50,7.0,Municipal,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5539,JUAN CORNELIO MOYANO ESQUINA LISANDRO MOYANO,www.lasheras.gob.ar,-68.81995797157288,-32.842826869313896
50500982158783,C.A.P.S. 207  VILLA ADELA.-,50098100001,PALMIRA,50,MENDOZA,98,SAN MARTÍN,100,1.0,Provincial,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5584,FRANCISCO RAMÍREZ 200,www.salud.mendoza.gov.ar,-68.557224,-33.039629
50500562758807,O.S.E.P. SUBDELEGACION COSTA DE ARAUJO.-,50056080000,COSTA DE ARAUJO,50,MENDOZA,56,LAVALLE,80,0.0,Seguridad Social,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5535,"BARRIO COSTA DE ARAUJO, M. H - C. 1",www.osepmendoza.com.ar,-68.38741879206543,-32.7687484853261
50500212358883,NEUROMED NEUROCIENCIAS CLINICAS.-,50021010001,GODOY CRUZ,50,MENDOZA,21,GODOY CRUZ,10,1.0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5501,LEGUIZAMÓN 398 PISO 1,www.neuromed.com.ar,-68.849531,-32.92897
50500982758814,O.S.E.P. SUBDELEGACION PALMIRA.-,50098100001,PALMIRA,50,MENDOZA,98,SAN MARTÍN,100,1.0,Seguridad Social,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5584,25 DE MAYO 217,www.osepmendoza.com.ar,-68.561578,-33.050481
53501052358840,ASISTIR CENTRO MEDICO - SAN RAFAEL.-,50105210,SAN RAFAEL  (CIUDAD DE SAN RAFAEL),50,MENDOZA,105,SAN RAFAEL,210,3.0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5600,SANTA FE 399,www.asistir.net,-68.337074,-34.619151
53500842158866,RIVADAVIA VACUNATORIO ZONAL.-,50084140000,RIVADAVIA,50,MENDOZA,84,RIVADAVIA,140,0.0,Provincial,53,ESCL,Vacunatorios,5577,GRAL. LAMADRID 629,www.salud.mendoza.gov.ar,-68.461886,-33.196709
53501262358841,ASISTIR CENTRO MEDICO - TUPUNGATO.-,50126060002,VILLA BASTIAS,50,MENDOZA,126,TUPUNGATO,60,2.0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5561,BOLIVIA 58,www.asistir.net,-69.143169,-33.360908
53500072358844,GANUN Y ASOCIADOS SALUD.-,50007010003,3A. SECCION,50,MENDOZA,7,CAPITAL,10,3.0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5500,GARIBALDI 77,,-68.837965,-32.890998
50500982758890,O.S.E.P. DELEGACION SAN MARTIN.-,50098100002,CIUDAD DE SAN MARTIN,50,MENDOZA,98,SAN MARTÍN,100,2.0,Seguridad Social,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5570,BALCARCE 345,www.osepmendoza.com.ar,-68.46915079999997,-33.0794691
50500632158779,P.S. 523 POSTA MUNICIPAL RAMON C. NOVERO.-,50063120000,UGARTECHE,50,MENDOZA,63,LUJÁN DE CUYO,120,0.0,Municipal,50,ESSIDT,Sin atención médica en forma periódica (menor a 3 veces por semana),5509,EL ALTO ENTRE CALLES 2 Y 9 S/N,www.lujandecuyo.gob.ar,-68.918089,-33.236887
50500072358806,BELGRANO CENTRO MEDICO - 1.-,50007010005,5A. SECCION,50,MENDOZA,7,CAPITAL,10,5.0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5500,AV. BELGRANO 987,www.sersaludsa.com.ar,-68.849944,-32.889946
51500072358799,INSTITUTO GINECOMAMARIO.-,50007010002,2A. SECCION,50,MENDOZA,7,CAPITAL,10,2.0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5500,SAN LORENZO 536 PLANTA BAJA PISOS 1 Y 2,www.institutoigm.com.ar,-68.847198,-32.892723
51500072358801,INSTITUTO MAGNA SALUD.-,50007010006,6A. SECCION,50,MENDOZA,7,CAPITAL,10,6.0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5500,JORGE A. CALLE 151,,-68.846641,-32.868689
50500072958792,FUNDACION ESCUELA DE MEDICINA NUCLEAR - CAPITAL.-,50007010003,3A. SECCION,50,MENDOZA,7,CAPITAL,10,3.0,Provincial,50,ESSIDT,Con guardia permanente,5500,GARIBALDI 405,www.fuesmen.edu.ar,-68.833449,-32.891356
53500982358855,SERVICIOS INTEGRALES MEDICOS.-,50098100002,CIUDAD DE SAN MARTIN,50,MENDOZA,98,SAN MARTÍN,100,2.0,Privado,53,ESCL,Sistema de Atención extra hospitalaria,5570,ALBUERA 187,,-68.476526,-33.083798
